hpo_id,name,definition,synonyms,text_for_embedding
HP:0000171,Microglossia,Decreased length and width of the tongue.,"['Abnormally small tongue', 'Decreased size of tongue', 'Hypoglossia', 'Hypoplasia of the tongue', 'Hypoplastic tongue', 'Lingual hypoplasia', 'Rudimentary tongue', 'Small tongue', 'Underdevelopment of the tongue']",Microglossia. Decreased length and width of the tongue. Abnormally small tongue. Decreased size of tongue. Hypoglossia. Hypoplasia of the tongue. Hypoplastic tongue. Lingual hypoplasia. Rudimentary tongue. Small tongue. Underdevelopment of the tongue
HP:0000172,Abnormal uvula morphology,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate.","['Abnormality of palatine uvula', 'Abnormality of the uvula']","Abnormal uvula morphology. Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate. Abnormality of palatine uvula. Abnormality of the uvula"
HP:0000174,Abnormal palate morphology,"Any abnormality of the palate, i.e., of roof of the mouth.","['Abnormality of the palate', 'Abnormality of the roof of the mouth', 'Palatal anomaly', 'Palate abnormality']","Abnormal palate morphology. Any abnormality of the palate, i.e., of roof of the mouth. Abnormality of the palate. Abnormality of the roof of the mouth. Palatal anomaly. Palate abnormality"
HP:0000175,Cleft palate,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).,"['Cleft secondary palate', 'Cleft hard and soft palate', 'Cleft of hard and soft palate', 'Cleft of palate', 'Cleft palate', 'Cleft roof of mouth', 'Palatoschisis', 'Uranostaphyloschisis']",Cleft palate. Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate). Cleft secondary palate. Cleft hard and soft palate. Cleft of hard and soft palate. Cleft of palate. Cleft palate. Cleft roof of mouth. Palatoschisis. Uranostaphyloschisis
HP:0000176,Submucous cleft hard palate,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.,['Partial thickness cleft hard palate'],Submucous cleft hard palate. Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate. Partial thickness cleft hard palate
HP:0000177,Abnormal upper lip morphology,An abnormality of the upper lip.,"['Abnormality of upper lip', 'Anomaly of the upper lip', 'Deformity of the upper lip', 'Malformation of the upper lip']",Abnormal upper lip morphology. An abnormality of the upper lip. Abnormality of upper lip. Anomaly of the upper lip. Deformity of the upper lip. Malformation of the upper lip
HP:0000178,Abnormal lower lip morphology,An abnormality of the lower lip.,"['Abnormality of lower lip', 'Anomaly of the lower lip', 'Deformity of the lower lip', 'Malformation of the lower lip']",Abnormal lower lip morphology. An abnormality of the lower lip. Abnormality of lower lip. Anomaly of the lower lip. Deformity of the lower lip. Malformation of the lower lip
HP:0000179,Thick lower lip vermilion,"Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective).","['Full lower lip vermilion', 'Increased height of lower lip vermilion', 'Increased volume of lower lip', 'Increased volume of lower lip vermilion', 'Plump lower lip', 'Prominent lower lip', 'Thick vermilion border of lower lip', 'Prominent lower lip vermilion', 'Thick red part of the lower lip', 'Full lower lip', 'Thick lower lip']","Thick lower lip vermilion. Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective). Full lower lip vermilion. Increased height of lower lip vermilion. Increased volume of lower lip. Increased volume of lower lip vermilion. Plump lower lip. Prominent lower lip. Thick vermilion border of lower lip. Prominent lower lip vermilion. Thick red part of the lower lip. Full lower lip. Thick lower lip"
HP:0000180,Lobulated tongue,Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.,"['Bumpy tongue', 'Lingual lobules', 'Lobulate tongue']",Lobulated tongue. Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour. Bumpy tongue. Lingual lobules. Lobulate tongue
HP:0000182,Movement abnormality of the tongue,,"['Abnormality of lingual movement', 'Movement abnormality of the tongue']",Movement abnormality of the tongue.  Abnormality of lingual movement. Movement abnormality of the tongue
HP:0000183,Tongue muscle weakness,"Reduced strength of the tongue musculature, resulting in difficulties moving the tongue and possible accompanied by dysarthria or dysphagia.",[],"Tongue muscle weakness. Reduced strength of the tongue musculature, resulting in difficulties moving the tongue and possible accompanied by dysarthria or dysphagia. "
HP:0000185,Cleft soft palate,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency.","['Cleft muscular palate', 'Cleft of soft palate', 'Cleft velum']","Cleft soft palate. Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency. Cleft muscular palate. Cleft of soft palate. Cleft velum"
HP:0000187,Broad alveolar ridges,,"['Broad alveolar margins', 'Widened alveolar ridges', 'Broad alveolar processes of jaw', 'Wide alveolar margins', 'Wide alveolar processes of jaw', 'Wide gum ridges']",Broad alveolar ridges.  Broad alveolar margins. Widened alveolar ridges. Broad alveolar processes of jaw. Wide alveolar margins. Wide alveolar processes of jaw. Wide gum ridges
HP:0000188,Short upper lip,Decreased width of the upper lip.,"['Decreased height of upper lip', 'Decreased upper labial height', 'Decreased upper labial length', 'Decreased vertical length of upper lip', 'Short upper lip', 'Shortening of upper lip', 'Vertical deficiency of upper lip']",Short upper lip. Decreased width of the upper lip. Decreased height of upper lip. Decreased upper labial height. Decreased upper labial length. Decreased vertical length of upper lip. Short upper lip. Shortening of upper lip. Vertical deficiency of upper lip
HP:0000189,Narrow palate,Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).,"['Decreased palatal width', 'Decreased transverse dimension of palate', 'Narrow palate', 'Narrow roof of mouth']",Narrow palate. Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective). Decreased palatal width. Decreased transverse dimension of palate. Narrow palate. Narrow roof of mouth
HP:0000190,Abnormal oral frenulum morphology,"An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity.","['Abnormality of frenum of tongue', 'Abnormality of lingual frenum', 'Abnormality of oral frenula', 'Abnormality of oral frenum']","Abnormal oral frenulum morphology. An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity. Abnormality of frenum of tongue. Abnormality of lingual frenum. Abnormality of oral frenula. Abnormality of oral frenum"
HP:0000191,Accessory oral frenulum,Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip.,"['Accessory oral frenum', 'Extra oral frenulum', 'Extra oral frenum', 'Multiple oral frenula', 'Supernumerary oral frenulum', 'Supernumerary oral frenum']",Accessory oral frenulum. Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip. Accessory oral frenum. Extra oral frenulum. Extra oral frenum. Multiple oral frenula. Supernumerary oral frenulum. Supernumerary oral frenum
HP:0000193,Bifid uvula,Uvula separated into two parts most easily seen at the tip.,"['Bifid palatine uvula', 'Cleft of uvula', 'Cleft uvula', 'Forked uvula', 'Split uvula', 'Uvula bifida']",Bifid uvula. Uvula separated into two parts most easily seen at the tip. Bifid palatine uvula. Cleft of uvula. Cleft uvula. Forked uvula. Split uvula. Uvula bifida
HP:0000194,Open mouth,A facial appearance characterized by a permanently or nearly permanently opened mouth.,"['Gaped jawed appearance', 'Gaped mouthed appearance', 'Open mouth', 'Slack jawed appearance', 'Open mouth appearance']",Open mouth. A facial appearance characterized by a permanently or nearly permanently opened mouth. Gaped jawed appearance. Gaped mouthed appearance. Open mouth. Slack jawed appearance. Open mouth appearance
HP:0000196,Lower lip pit,"Depression located on the vermilion of the lower lip, usually paramedian.",[],"Lower lip pit. Depression located on the vermilion of the lower lip, usually paramedian. "
HP:0000197,Abnormal parotid gland morphology,"Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear.","['Abnormality of parotid gland', 'Anomaly of the parotid gland']","Abnormal parotid gland morphology. Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear. Abnormality of parotid gland. Anomaly of the parotid gland"
HP:0000198,Absence of Stensen duct,,"['Absence of parotid duct', 'Absent stensen duct', 'Failure of development of parotid duct', 'Failure of development of stensen duct', 'Missing parotid duct', 'Missing stensen duct', 'Agenesis of parotid duct', 'Agenesis of stensen duct']",Absence of Stensen duct.  Absence of parotid duct. Absent stensen duct. Failure of development of parotid duct. Failure of development of stensen duct. Missing parotid duct. Missing stensen duct. Agenesis of parotid duct. Agenesis of stensen duct
HP:0000199,Tongue nodules,,['Lingual nodules'],Tongue nodules.  Lingual nodules
HP:0000200,Short lingual frenulum,The presence of an abnormally short lingual frenulum.,"['Hypoplasia of lingual frenulum', 'Hypoplasia of lingual frenum', 'Hypoplasia of tongue frenulum', 'Hypoplasia of tongue frenum', 'Deficiency of lingual frenulum', 'Short lingual frenum', 'Short tongue frenulum', 'Short tongue frenum', 'Tight lingual frenulum']",Short lingual frenulum. The presence of an abnormally short lingual frenulum. Hypoplasia of lingual frenulum. Hypoplasia of lingual frenum. Hypoplasia of tongue frenulum. Hypoplasia of tongue frenum. Deficiency of lingual frenulum. Short lingual frenum. Short tongue frenulum. Short tongue frenum. Tight lingual frenulum
HP:0000201,Pierre-Robin sequence,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate.","['Pierre Robin sequence', 'Pierre-robin anomaly', 'Pierre-robin deformity', 'Pierre-robin malformation', 'Robin sequence']","Pierre-Robin sequence. Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate. Pierre Robin sequence. Pierre-robin anomaly. Pierre-robin deformity. Pierre-robin malformation. Robin sequence"
HP:0000202,Orofacial cleft,"The presence of a cleft (gap, opening, or groove) in the oral cavity, including cleft of the upper lip and/or cleft of the palate. Cleft of the upper lip is visible as a groove or fissure in the lip, most frequently due to a congenital failure of the maxillary and median nasal processes to fuse. Cleft palate is characterized by a grooved depression or fissure in the roof of the mouth, most often resulting from a congenital failure of the palate to fuse properly. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately.","['Cleft of the mouth', 'Oral cleft', 'Oral clefting', 'Cleft lip, cleft palate', 'Cleft lip/palate']","Orofacial cleft. The presence of a cleft (gap, opening, or groove) in the oral cavity, including cleft of the upper lip and/or cleft of the palate. Cleft of the upper lip is visible as a groove or fissure in the lip, most frequently due to a congenital failure of the maxillary and median nasal processes to fuse. Cleft palate is characterized by a grooved depression or fissure in the roof of the mouth, most often resulting from a congenital failure of the palate to fuse properly. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately. Cleft of the mouth. Oral cleft. Oral clefting. Cleft lip, cleft palate. Cleft lip/palate"
HP:0000204,Cleft upper lip,A gap or groove in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development.,"['Cheiloschisis of upper lip', 'Cleft upper lip', 'Harelip', 'Cleft of upper lip']",Cleft upper lip. A gap or groove in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development. Cheiloschisis of upper lip. Cleft upper lip. Harelip. Cleft of upper lip
HP:0000205,Pursed lips,An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance.,"['Pursed lips', 'Tightly closed lips']",Pursed lips. An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance. Pursed lips. Tightly closed lips
HP:0000206,Glossitis,Inflammation of the tongue.,"['Inflammation of the tongue', 'Lingual inflammation', 'Smooth swollen tongue']",Glossitis. Inflammation of the tongue. Inflammation of the tongue. Lingual inflammation. Smooth swollen tongue
HP:0000207,Triangular mouth,The presence of a triangular form of the mouth.,"['Triangular mouth', 'Triangular shaped mouth', 'Triangular shaped oral aperture']",Triangular mouth. The presence of a triangular form of the mouth. Triangular mouth. Triangular shaped mouth. Triangular shaped oral aperture
HP:0000211,Trismus,Limitation in the ability to open the mouth.,"['Decrease in jaw mobility', 'Decrease in jaw movement', 'Decrease in jaw opening', 'Decrease in mandibular mobility', 'Decrease in mandibular movement', 'Decrease in mandibular opening', 'Limited jaw mobility', 'Limited jaw movement', 'Limited jaw opening', 'Limited mandibular mobility', 'Limited mandibular opening', 'Limited mouth opening', 'Lockjaw', 'Pain of muscles of mastication']",Trismus. Limitation in the ability to open the mouth. Decrease in jaw mobility. Decrease in jaw movement. Decrease in jaw opening. Decrease in mandibular mobility. Decrease in mandibular movement. Decrease in mandibular opening. Limited jaw mobility. Limited jaw movement. Limited jaw opening. Limited mandibular mobility. Limited mandibular opening. Limited mouth opening. Lockjaw. Pain of muscles of mastication
HP:0000212,Gingival overgrowth,"Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown.","['Gingival enlargement', 'Gingival hyperplasia', 'Gum enlargement', 'Gum hypertrophy', 'Hypertrophic gingivitis', 'Oral soft tissue hyperplasia']","Gingival overgrowth. Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown. Gingival enlargement. Gingival hyperplasia. Gum enlargement. Gum hypertrophy. Hypertrophic gingivitis. Oral soft tissue hyperplasia"
HP:0000214,Lip telangiectasia,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips.","['Labial telangiectasia', 'Lip telangiectases', 'Telangiectasia of the lips', 'Angioectasias of the lip', 'Labial angioectasias', 'Spider veins of the lip']","Lip telangiectasia. Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips. Labial telangiectasia. Lip telangiectases. Telangiectasia of the lips. Angioectasias of the lip. Labial angioectasias. Spider veins of the lip"
HP:0000215,Thick upper lip vermilion,"Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective).","['Full upper lip', 'Full upper lip vermilion', 'Increased height of upper lip vermilion', 'Increased volume of upper lip', 'Increased volume of upper lip vermilion', 'Plump upper lip', 'Prominent upper lip', 'Thick upper lip', 'Thick vermilion border of upper lip', 'Prominent upper lip vermilion', 'Thick red part of the upper lip']","Thick upper lip vermilion. Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective). Full upper lip. Full upper lip vermilion. Increased height of upper lip vermilion. Increased volume of upper lip. Increased volume of upper lip vermilion. Plump upper lip. Prominent upper lip. Thick upper lip. Thick vermilion border of upper lip. Prominent upper lip vermilion. Thick red part of the upper lip"
HP:0000216,Broad secondary alveolar ridge,,['Secondary alveolar ridges'],Broad secondary alveolar ridge.  Secondary alveolar ridges
HP:0000217,Xerostomia,Dryness of the mouth due to salivary gland dysfunction.,"['Decreased salivary flow', 'Dry mouth', 'Dry mouth syndrome', 'Reduced salivation']",Xerostomia. Dryness of the mouth due to salivary gland dysfunction. Decreased salivary flow. Dry mouth. Dry mouth syndrome. Reduced salivation
HP:0000218,High palate,Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).,"['Elevated palate', 'High arched palate', 'High palate', 'High, arched palate', 'High-arched palate', 'Increased palatal height', 'Palate high-arched', 'Palate, high-arched', 'Ogival palate']","High palate. Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective). Elevated palate. High arched palate. High palate. High, arched palate. High-arched palate. Increased palatal height. Palate high-arched. Palate, high-arched. Ogival palate"
HP:0000219,Thin upper lip vermilion,"Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective).","['Decreased height of upper lip vermilion', 'Decreased volume of upper lip', 'Decreased volume of upper lip vermilion', 'Thin upper lip', 'Thin vermilion border of upper lip', 'Thin red part of the upper lip', 'Thin upper lips']","Thin upper lip vermilion. Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective). Decreased height of upper lip vermilion. Decreased volume of upper lip. Decreased volume of upper lip vermilion. Thin upper lip. Thin vermilion border of upper lip. Thin red part of the upper lip. Thin upper lips"
HP:0000220,Velopharyngeal insufficiency,Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech.,"['Velopharyngeal dysfunction', 'Velopharyngeal incompetence']",Velopharyngeal insufficiency. Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech. Velopharyngeal dysfunction. Velopharyngeal incompetence
HP:0000221,Furrowed tongue,Accentuation of the grooves on the dorsal surface of the tongue.,"['Fissured tongue', 'Grooved tongue', 'Lingua plicata', 'Lingual furrow', 'Plicated tongue', 'Prominent tongue grooves', 'Scrotal tongue']",Furrowed tongue. Accentuation of the grooves on the dorsal surface of the tongue. Fissured tongue. Grooved tongue. Lingua plicata. Lingual furrow. Plicated tongue. Prominent tongue grooves. Scrotal tongue
HP:0000222,Gingival hyperkeratosis,Hyperkeratosis of the gingiva.,"['Hyperkeratosis, gingival']","Gingival hyperkeratosis. Hyperkeratosis of the gingiva. Hyperkeratosis, gingival"
HP:0000223,Abnormality of taste sensation,,['Abnormality of taste sensation'],Abnormality of taste sensation.  Abnormality of taste sensation
HP:0000224,Hypogeusia,A decreased ability to perceive flavor.,"['Decreased taste', 'Decreased taste sensation']",Hypogeusia. A decreased ability to perceive flavor. Decreased taste. Decreased taste sensation
HP:0000225,Gingival bleeding,Hemorrhage affecting the gingiva.,"['Bleeding gums', 'Gingival haemorrhage', 'Gingival hemorrhage', 'Gingivorrhagia']",Gingival bleeding. Hemorrhage affecting the gingiva. Bleeding gums. Gingival haemorrhage. Gingival hemorrhage. Gingivorrhagia
HP:0000227,Tongue telangiectasia,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue.","['Lingual telangiectasia', 'Angioectasias of the tongue', 'Lingual angioectasias', 'Spider veins of the tongue']","Tongue telangiectasia. Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue. Lingual telangiectasia. Angioectasias of the tongue. Lingual angioectasias. Spider veins of the tongue"
HP:0000228,Oral cavity telangiectasia,Presence of telangiectases in the oral cavity.,"['Oral cavity teleangiectasia', 'Angioectasias of the mouth', 'Angioectasias of the oral cavity', 'Spider veins of the mouth', 'Spider veins of the oral cavity']",Oral cavity telangiectasia. Presence of telangiectases in the oral cavity. Oral cavity teleangiectasia. Angioectasias of the mouth. Angioectasias of the oral cavity. Spider veins of the mouth. Spider veins of the oral cavity
HP:0000230,Gingivitis,Inflammation of the gingiva.,"['Gingival inflammation', 'Inflamed gums', 'Red and swollen gums']",Gingivitis. Inflammation of the gingiva. Gingival inflammation. Inflamed gums. Red and swollen gums
HP:0000232,Everted lower lip vermilion,"An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view.","['Drooping lower lip', 'Eclabium of lower lip', 'Everted lower lip', 'Everted prominent lower lip', 'Outward turned lower lip', 'Protruding lower lip']","Everted lower lip vermilion. An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view. Drooping lower lip. Eclabium of lower lip. Everted lower lip. Everted prominent lower lip. Outward turned lower lip. Protruding lower lip"
HP:0000233,Thin vermilion border,"Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips).","['Decreased volume of lip', 'Decreased volume of lip vermillion', 'Thin lips', 'Thin vermillion', 'Thin vermilion borders']","Thin vermilion border. Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips). Decreased volume of lip. Decreased volume of lip vermillion. Thin lips. Thin vermillion. Thin vermilion borders"
HP:0000234,Abnormality of the head,An abnormality of the head.,"['Abnormal head', 'Abnormality of the head', 'Head abnormality']",Abnormality of the head. An abnormality of the head. Abnormal head. Abnormality of the head. Head abnormality
HP:0000235,Abnormal cranial suture/fontanelle morphology,Any abnormality of the fontanelles (the regions covered by a thick membrane that normally ossify in the first two years of life) or the cranial sutures (the fibrous joints in which the articulating bones or cartilages of the skull are connected by sutural ligaments).,['Abnormality of the fontanelles or cranial sutures'],Abnormal cranial suture/fontanelle morphology. Any abnormality of the fontanelles (the regions covered by a thick membrane that normally ossify in the first two years of life) or the cranial sutures (the fibrous joints in which the articulating bones or cartilages of the skull are connected by sutural ligaments). Abnormality of the fontanelles or cranial sutures
HP:0000236,Abnormal anterior fontanelle morphology,"An abnormality of the anterior fontanelle, i.e., the cranial fontanelle that is located at the intersection of the coronal and sagittal sutures.","['Abnormality of the anterior fontanelle', 'Abnormality of the forehead soft spot']","Abnormal anterior fontanelle morphology. An abnormality of the anterior fontanelle, i.e., the cranial fontanelle that is located at the intersection of the coronal and sagittal sutures. Abnormality of the anterior fontanelle. Abnormality of the forehead soft spot"
